32657,254287.0,0
40247,11567.0,1
5176,9224.0,0
5176,394271.0,0
9009,21459.0,1
9009,154820.0,1
38073,13032.0,1
38073,57418.0,1
9920,279966.0,0
257,23278.0,0
257,8583.0,0
679,429158.0,1
9030,303432.0,1
8408,11084.0,0
13613,11084.0,1
8408,64488.0,0
13613,64488.0,1
16005,11785.0,1
22787,538847.0,1
31582,12567.0,0
31582,7694.0,0
9029,501679.0,1
12690,55670.0,0
12473,127066.0,0
12473,442.0,0
22825,359067.0,1
8065,367740.0,1
40156,86566.0,1
38321,86566.0,0
20766,248392.0,0
20766,3333.0,0
19585,964628.0,0
13972,62029.0,1
13972,6612.0,1
11322,633635.0,0
42222,17304.0,1
19959,295028.0,0
14248,82490.0,0
13455,2026397.0,1
13788,831822.0,1
14438,39733.0,0
18240,860222.0,0
96724,3061.0,0
96724,3464.0,0
96724,52616.0,0
10024,365325.0,1
18785,942870.0,0
28089,21578.0,0
28089,184.0,0
3537,194964.0,1
3537,40421.0,1
28211,30554.0,0
10204,33419.0,0
10204,262233.0,0
44363,20583.0,0
109445,20583.0,1
44363,305939.0,0
109445,305939.0,1
11439,60319.0,0
31867,100453.0,1
39013,51659.0,1
39781,63538.0,1
34851,159760.0,0
17814,24609.0,0
8978,24609.0,1
17814,94474.0,0
8978,94474.0,1
16938,22965.0,1
9656,22965.0,1
16938,137848.0,1
9656,137848.0,1
9208,1021.0,0
9208,193430.0,0
12526,1995.0,1
12526,356665.0,1
7342,352882.0,1
133805,352882.0,1
7342,82073.0,1
133805,82073.0,1
36557,33148.0,0
36557,703146.0,0
6217,7763.0,1
6217,10326.0,1
10999,138087.0,0
17130,10484.0,1
17130,359310.0,1
859,46530.0,1
859,738.0,1
10200,34226.0,1
10200,303478.0,1
841,70749.0,0
1103,72560.0,0
9566,1128.0,0
9566,39921.0,0
10998,52960.0,0
3604,46662.0,0
68817,270239.0,1
68817,68712.0,1
10330,65734.0,1
10330,932302.0,1
58151,49651.0,0
58151,50440.0,0
5503,576.0,0
5503,267605.0,0
7552,5485.0,1
160068,4674.0,1
160068,4603.0,1
160068,10846.0,1
160068,370.0,1
64682,20753.0,0
64682,209543.0,0
2976,64137.0,1
2976,763432.0,1
948,302801.0,0
2082,302801.0,1
948,360821.0,0
2082,360821.0,1
948,9237.0,0
2082,9237.0,1
10549,7527.0,0
10549,32595.0,0
10549,10262.0,0
10549,nan,0
10549,38286.0,0
11618,19295.0,1
11618,128123.0,1
10545,2951.0,0
10545,7614.0,0
10545,125722.0,0
9026,3373.0,1
9026,32135.0,1
1635,7399.0,1
254,90052.0,0
254,57583.0,0
254,33766734.0,0
11976,101519.0,0
11976,28195.0,0
10776,181532.0,0
9587,9755.0,1
9587,9794.0,1
9587,87471.0,1
9587,216.0,1
27582,4700.0,0
27582,57736.0,0
698,57971.0,0
38357,831.0,1
38357,50238.0,1
787,4825.0,0
787,33461707.0,0
564,12279.0,0
564,7704.0,0
564,946613.0,0
564,47568.0,0
10601,277881.0,1
10601,427000.0,1
9833,49302.0,0
9833,412038.0,0
609,182197.0,1
609,36994.0,1
8617,20097.0,1
8617,269847.0,1
60747,49105.0,0
60747,66641.0,0
9626,35204.0,1
13155,62053.0,1
10135,60142.0,0
20662,271595.0,0
20662,684.0,0
20662,264968.0,0
20662,3349.0,0
5548,226227.0,0
5548,127081.0,0
1366,33403994.0,0
11860,55264.0,1
11860,52222.0,1
482,12075.0,0
482,64723.0,0
482,7725.0,0
88036,4578.0,1
21554,4578.0,1
88036,nan,1
21554,nan,1
88036,879.0,1
